Consecutivo,Ticket,Asunto,FechaSolicitud,EstadoAtencion,FechaAtencion,FechaCierre
1,DL-0013238,Se reporta que DL-0013238 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-13,2026-01-24
2,DL-0013239,Se reporta que DL-0013239 desde el viernes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
3,DL-0013240,Se reporta que DL-0013240 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Cerrado,2026-01-13,2026-01-25
4,DL-0013241,Se reporta que DL-0013241 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-15,
5,DL-0013242,Se reporta que DL-0013242 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-15,
6,DL-0013243,Se reporta que DL-0013243 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
7,DL-0013244,Se reporta que DL-0013244 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-02,2026-01-08
8,DL-0013245,Se reporta que DL-0013245 desde el lunes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Cerrado,2026-01-10,2026-01-14
9,DL-0013246,Se reporta que DL-0013246 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-03,
10,DL-0013247,Se reporta que DL-0013247 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-15,
11,DL-0013248,Se reporta que DL-0013248 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-11,
12,DL-0013249,Se reporta que DL-0013249 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Cerrado,2026-01-14,2026-01-19
13,DL-0013250,Se reporta que DL-0013250 desde el jueves no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Escalado,2026-01-10,
14,DL-0013251,Se reporta que DL-0013251 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-05,
15,DL-0013252,Se reporta que DL-0013252 desde el miércoles no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Cerrado,2026-01-11,2026-01-19
16,DL-0013253,Se reporta que DL-0013253 desde el viernes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-09,
17,DL-0013254,Se reporta que DL-0013254 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Cerrado,2026-01-10,2026-01-15
18,DL-0013255,Se reporta que DL-0013255 desde el lunes no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-12,2026-01-25
19,DL-0013256,Se reporta que DL-0013256 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Escalado,2026-01-11,
20,DL-0013257,Se reporta que DL-0013257 desde el jueves no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
21,DL-0013258,Se reporta que DL-0013258 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-06,
22,DL-0013259,Se reporta que DL-0013259 desde el domingo no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-10,
23,DL-0013260,Se reporta que DL-0013260 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-03,
24,DL-0013261,Se reporta que DL-0013261 desde el miércoles no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
